date,quarter,day,Team Code,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,productivity_score
2016-01-03,Quarter1,Saturday,1,28.08,772.0,6300,50,0.0,0,0,56.5,80.073
2016-01-03,Quarter1,Saturday,3,28.08,913.0,6540,50,0.0,0,0,54.5,80.032
1/3/2015,Quarter1,Saturday,8,26.16,1261.0,7080,50,0.0,0,0,59.0,80.032
1/3/2015,Quarter1,Saturday,12,26.16,844.0,7080,63,0.0,0,0,59.0,80.032
2016-01-03,Quarter1,Saturday,11,11.61,1005.0,7080,50,0.0,0,0,29.5,80.024
1/3/2015,Quarter1,Saturday,5,11.61,659.0,7080,50,0.0,0,0,31.5,80.015
1/3/2015,Quarter1,Saturday,6,25.9,1152.0,6720,50,0.0,0,0,56.0,80.012
1/3/2015,Quarter1,Saturday,7,25.9,1138.0,6720,38,0.0,0,0,56.0,80.012
1/3/2015,Quarter1,Saturday,10,19.31,610.0,6480,56,0.0,0,0,54.0,78.73
1/3/2015,Quarter1,Saturday,2,4.15,,960,0,0.0,0,0,8.0,78.245
2016-01-03,Quarter1,Saturday,2,19.87,944.0,6600,45,0.0,0,0,55.0,75.024
2016-01-03,Quarter1,Saturday,10,4.15,,960,0,0.0,0,0,8.0,70.181
2016-01-03,Quarter1,Saturday,4,23.69,544.0,13800,0,0.0,0,0,60.0,70.013
2016-01-03,Quarter1,Saturday,9,28.08,1072.0,6900,40,0.0,0,0,57.5,69.997
2016-01-03,Quarter1,Saturday,8,2.9,,960,0,0.0,0,0,8.0,62.833
2016-01-03,Quarter1,Saturday,7,3.94,,960,0,0.0,0,0,8.0,62.531
1/4/2015,Quarter1,Sunday,3,4.15,,1560,0,0.0,0,0,8.0,99.139
1/4/2015,Quarter1,Sunday,9,3.94,,960,0,0.0,0,0,8.0,93.165
1/4/2015,Quarter1,Sunday,1,3.94,,960,0,0.0,0,0,8.0,91.523
1/4/2015,Quarter1,Sunday,6,11.61,539.0,6975,50,0.0,0,0,31.0,87.971
1/4/2015,Quarter1,Sunday,4,3.94,,6600,0,0.0,0,0,20.0,86.168
2016-01-04,Quarter1,Sunday,9,26.16,1278.0,7080,60,0.0,0,0,59.0,85.057
1/4/2015,Quarter1,Sunday,7,25.9,1227.0,7020,60,0.0,0,0,56.5,85.044
1/4/2015,Quarter1,Sunday,8,25.9,1039.0,6780,45,0.0,0,0,56.5,85.035
2016-01-04,Quarter1,Sunday,4,28.08,878.0,4260,50,0.0,0,0,55.5,80.06
2016-01-04,Quarter1,Sunday,1,26.16,1033.0,7080,63,0.0,0,0,59.0,80.032
1/4/2015,Quarter1,Sunday,2,28.08,782.0,6660,50,0.0,0,0,55.5,80.024
1/4/2015,Quarter1,Sunday,12,11.61,1216.0,6975,50,0.0,0,0,31.0,80.003
2016-01-04,Quarter1,Sunday,2,3.94,,960,0,0.0,0,0,8.0,79.21
1/4/2015,Quarter1,Sunday,10,3.94,,4320,0,0.0,0,0,18.0,75.923
1/4/2015,Quarter1,Sunday,11,19.31,513.0,6480,45,0.0,0,0,54.0,75.035
2016-01-04,Quarter1,Sunday,3,19.87,734.0,6600,45,0.0,0,0,55.0,75.024
2016-01-04,Quarter1,Sunday,10,28.08,1202.0,6900,40,0.0,0,0,57.5,69.997
2016-01-04,Quarter1,Sunday,8,2.9,,960,0,0.0,0,0,8.0,68.271
2016-01-04,Quarter1,Sunday,7,2.9,,960,0,0.0,0,0,8.0,66.76
1/4/2015,Quarter1,Sunday,5,45.67,884.0,6960,26,0.0,0,0,58.0,60.343
2016-01-04,Quarter1,Sunday,11,4.15,,960,0,0.0,0,0,8.0,34.583
1/5/2015,Quarter1,Monday,1,3.94,,1920,0,0.0,0,0,8.0,96.106
1/5/2015,Quarter1,Monday,11,3.94,,2400,0,0.0,0,0,10.0,93.951
1/5/2015,Quarter1,Monday,4,3.94,,3840,0,0.0,0,0,16.0,89.366
1/5/2015,Quarter1,Monday,3,4.15,,1920,0,0.0,0,0,8.0,87.539
1/5/2015,Quarter1,Monday,9,26.16,1227.0,7080,75,0.0,0,0,59.0,85.057
2016-01-05,Quarter1,Monday,9,2.9,,1920,0,0.0,0,0,-8.0,82.083
1/5/2015,Quarter1,Monday,2,3.94,,960,0,0.0,0,0,8.0,80.442
1/5/2015,Quarter1,Monday,7,25.9,1255.0,6780,50,0.0,0,0,56.5,80.068
1/5/2015,Quarter1,Monday,8,25.9,1047.0,6780,38,0.0,0,0,56.5,80.068
2016-01-05,Quarter1,Monday,1,26.16,1138.0,7080,63,0.0,0,0,59.0,80.032
2016-01-05,Quarter1,Monday,11,19.31,678.0,4800,50,0.0,0,0,55.0,80.025
1/5/2015,Quarter1,Monday,6,11.61,712.0,7200,50,0.0,0,0,32.0,80.025
1/5/2015,Quarter1,Monday,12,11.61,1037.0,7200,50,0.0,0,0,32.0,80.025
2016-01-05,Quarter1,Monday,2,28.08,757.0,6900,50,0.0,0,0,57.5,80.008
2016-01-05,Quarter1,Monday,4,28.08,759.0,6900,50,0.0,0,0,57.5,80.008
1/5/2015,Quarter1,Monday,10,2.9,,960,0,0.0,0,0,8.0,76.338
1/5/2015,Quarter1,Monday,5,2.9,,960,0,0.0,0,0,8.0,75.927
2016-01-05,Quarter1,Monday,10,28.08,1083.0,7020,45,0.0,0,0,58.5,75.04
2016-01-05,Quarter1,Monday,3,19.87,944.0,6600,45,0.0,0,0,-55.0,75.024
2016-01-05,Quarter1,Monday,7,3.94,,960,0,0.0,0,0,8.0,67.667
2016-01-05,Quarter1,Monday,8,2.9,,960,0,0.0,0,0,8.0,66.458
2016-01-05,Quarter1,Monday,5,21.98,666.0,6960,23,0.0,0,0,58.0,60.003
1/6/2015,Quarter1,Tuesday,4,3.94,,4440,0,0.0,0,0,18.0,96.678
1/6/2015,Quarter1,Tuesday,1,3.94,,1440,0,0.0,0,0,8.0,93.65
1/6/2015,Quarter1,Tuesday,3,4.15,,1800,0,0.0,0,0,10.0,89.917
1/6/2015,Quarter1,Tuesday,11,4.15,,2700,0,0.0,0,0,15.0,88.869
1/6/2015,Quarter1,Tuesday,9,3.94,,1440,0,0.0,0,0,8.0,85.814
2016-01-06,Quarter1,Tuesday,1,26.16,1187.0,10620,75,0.0,0,0,59.0,85.05
2016-01-06,Quarter1,Tuesday,9,26.16,1305.0,10620,75,0.0,0,0,59.0,85.05
1/6/2015,Quarter1,Tuesday,10,3.94,,1440,0,0.0,0,0,8.0,80.964
1/6/2015,Quarter1,Tuesday,2,3.94,,1440,0,0.0,0,0,8.0,80.591
2016-01-06,Quarter1,Tuesday,2,28.08,716.0,10350,50,0.0,0,0,57.5,80.059
2016-01-06,Quarter1,Tuesday,4,28.08,925.0,10350,50,0.0,0,0,57.5,80.059
2016-01-06,Quarter1,Tuesday,3,19.87,963.0,9900,50,0.0,0,0,55.0,80.027
1/6/2015,Quarter1,Tuesday,12,11.61,1101.0,5310,50,0.0,0,0,31.5,80.014
1/6/2015,Quarter1,Tuesday,7,25.9,1035.0,10170,38,0.0,0,0,56.5,80.013
1/6/2015,Quarter1,Tuesday,8,25.9,1083.0,10170,38,0.0,0,0,56.5,80.013
1/6/2015,Quarter1,Tuesday,6,11.61,910.0,4470,38,0.0,0,0,31.5,80.008
2016-01-06,Quarter1,Tuesday,10,28.08,1209.0,10530,45,0.0,0,0,58.5,75.055
2016-01-06,Quarter1,Tuesday,11,19.31,590.0,9900,45,0.0,0,0,55.0,75.006
2016-01-06,Quarter1,Tuesday,8,2.9,,1440,0,0.0,0,0,8.0,68.106
1/6/2015,Quarter1,Tuesday,5,21.98,808.0,10440,35,0.0,0,0,58.0,64.998
2016-01-06,Quarter1,Tuesday,7,2.9,,1440,0,0.0,0,0,8.0,61.625
1/7/2015,Quarter1,Wednesday,1,3.94,,1440,0,0.0,0,0,8.0,95.142
1/7/2015,Quarter1,Wednesday,9,3.94,,1440,0,0.0,0,0,8.0,88.053
2016-01-07,Quarter1,Wednesday,1,26.16,1179.0,10620,75,0.0,0,0,59.0,85.05
2016-01-07,Quarter1,Wednesday,9,26.16,1324.0,10620,75,0.0,0,0,59.0,85.05
1/7/2015,Quarter1,Wednesday,8,25.9,1135.0,10170,60,0.0,0,0,56.5,85.014
1/7/2015,Quarter1,Wednesday,3,4.15,,2700,0,0.0,0,0,15.0,83.0
1/7/2015,Quarter1,Wednesday,4,3.94,,4440,0,0.0,0,0,18.0,82.719
1/7/2015,Quarter1,Wednesday,2,3.94,,1440,0,0.0,0,0,8.0,81.337
1/7/2015,Quarter1,Wednesday,10,3.94,,1440,0,0.0,0,0,8.0,80.591
1/7/2015,Quarter1,Wednesday,7,2.9,,1440,0,0.0,0,0,8.0,80.464
2016-01-07,Quarter1,Wednesday,2,28.08,776.0,10350,63,0.0,0,0,57.5,80.059
2016-01-07,Quarter1,Wednesday,4,28.08,990.0,10350,50,0.0,0,0,57.5,80.059
1/7/2015,Quarter1,Wednesday,6,11.41,986.0,5490,50,0.0,0,0,30.5,80.034
2016-01-07,Quarter1,Wednesday,3,19.87,924.0,9900,50,0.0,0,0,55.0,80.027
1/7/2015,Quarter1,Wednesday,12,11.61,1120.0,5670,50,0.0,0,0,31.5,80.025
2016-01-07,Quarter1,Wednesday,7,25.9,1066.0,10170,50,0.0,0,0,56.5,80.013
2016-01-07,Quarter1,Wednesday,10,28.08,1144.0,10530,69,0.0,0,0,58.5,80.0
1/7/2015,Quarter1,Wednesday,5,21.98,413.0,9720,40,0.0,0,0,58.0,70.048
2016-01-07,Quarter1,Wednesday,8,2.9,,1440,0,0.0,0,0,8.0,68.106
2016-01-07,Quarter1,Wednesday,6,2.9,,1800,0,0.0,0,0,10.0,66.652
1/7/2015,Quarter1,Wednesday,11,31.83,568.0,9900,40,0.0,0,0,55.0,41.212
2016-01-07,Quarter1,Wednesday,5,4.15,,1440,0,0.0,0,0,8.0,33.011
1/8/2015,Quarter2,Thursday,1,3.94,,1440,0,0.0,0,0,8.0,94.769
1/8/2015,Quarter2,Thursday,4,3.94,,12600,0,0.0,0,0,20.0,91.991
1/8/2015,Quarter2,Thursday,9,26.16,1216.0,10620,88,0.0,0,0,59.0,90.022
2016-01-08,Quarter2,Thursday,9,3.94,,1440,0,0.0,0,0,8.0,89.172
2016-01-08,Quarter2,Thursday,1,26.16,1189.0,10620,75,0.0,0,0,59.0,85.05
2016-01-08,Quarter2,Thursday,4,28.08,942.0,10530,75,0.0,0,0,58.5,85.018
1/8/2015,Quarter2,Thursday,7,25.9,1050.0,10170,60,0.0,0,0,56.5,85.014
1/8/2015,Quarter2,Thursday,8,25.9,1026.0,10170,60,0.0,0,0,56.5,85.014
1/8/2015,Quarter2,Thursday,2,3.94,,1440,0,0.0,0,0,8.0,83.576
1/8/2015,Quarter2,Thursday,5,4.15,,3840,0,0.0,0,0,8.0,82.135
2016-01-08,Quarter2,Thursday,2,28.08,783.0,10050,63,0.0,0,0,58.5,80.05
1/8/2015,Quarter2,Thursday,3,19.87,857.0,9900,50,0.0,0,0,55.0,80.027
1/8/2015,Quarter2,Thursday,12,11.61,548.0,15120,63,0.0,0,0,31.5,80.011
1/8/2015,Quarter2,Thursday,6,11.41,411.0,14640,50,0.0,0,0,30.5,80.002
1/8/2015,Quarter2,Thursday,10,28.08,1066.0,10530,69,0.0,0,0,58.5,80.0
2016-01-08,Quarter2,Thursday,10,3.94,,1440,0,0.0,0,0,8.0,77.979
2016-01-08,Quarter2,Thursday,8,2.9,,1440,0,0.0,0,0,8.0,73.598
2016-01-08,Quarter2,Thursday,3,4.15,,2160,0,0.0,0,0,12.0,71.263
2016-01-08,Quarter2,Thursday,7,2.9,,1440,0,0.0,0,0,8.0,68.106
1/8/2015,Quarter2,Thursday,11,4.15,,900,0,0.0,0,0,5.0,51.561
2016-01-08,Quarter2,Thursday,11,12.52,287.0,25920,38,0.0,0,0,54.0,34.995
2016-01-08,Quarter2,Thursday,5,42.41,724.0,10260,0,0.0,0,0,57.0,23.371
1/10/2015,Quarter2,Saturday,1,3.94,,2160,0,0.0,0,0,8.0,98.5
1/10/2015,Quarter2,Saturday,3,4.15,,2760,0,0.0,0,0,12.0,93.034
1/10/2015,Quarter2,Saturday,4,3.94,,6000,0,0.0,0,0,20.0,91.159
1/10/2015,Quarter2,Saturday,9,3.94,,1440,0,0.0,0,0,8.0,85.814
2016-01-10,Quarter2,Saturday,9,26.16,1122.0,10620,75,0.0,0,0,59.0,85.117
1/10/2015,Quarter2,Saturday,7,25.9,970.0,10170,60,0.0,0,0,56.5,85.014
1/10/2015,Quarter2,Saturday,8,25.9,1158.0,10170,60,0.0,0,0,56.5,85.014
1/10/2015,Quarter2,Saturday,10,3.94,,1440,0,0.0,0,0,8.0,84.695
1/10/2015,Quarter2,Saturday,11,4.15,,1440,0,0.0,0,0,8.0,81.742
1/10/2015,Quarter2,Saturday,2,3.94,,1440,0,0.0,0,0,8.0,81.71
2016-01-10,Quarter2,Saturday,4,28.08,660.0,10440,63,0.0,0,0,58.0,80.103
2016-01-10,Quarter2,Saturday,2,28.08,749.0,10350,63,0.0,0,0,57.5,80.059
1/10/2015,Quarter2,Saturday,12,11.61,893.0,4710,50,0.0,0,0,31.5,80.035
1/10/2015,Quarter2,Saturday,6,11.41,887.0,5490,50,0.0,0,0,30.5,80.034
2016-01-10,Quarter2,Saturday,1,26.16,1335.0,10620,63,0.0,0,0,59.0,80.012
2016-01-10,Quarter2,Saturday,10,28.08,1082.0,10530,63,0.0,0,0,58.5,80.0
2016-01-10,Quarter2,Saturday,3,19.87,1075.0,7080,45,0.0,0,0,56.0,75.01
2016-01-10,Quarter2,Saturday,11,12.52,749.0,9540,38,0.0,0,0,53.0,67.325
2016-01-10,Quarter2,Saturday,7,2.9,,1440,0,0.0,0,0,8.0,67.008
2016-01-10,Quarter2,Saturday,8,2.9,,1440,0,0.0,0,0,8.0,62.888
1/10/2015,Quarter2,Saturday,5,20.79,966.0,7680,0,0.0,0,0,56.0,38.801
2016-01-10,Quarter2,Saturday,5,4.15,,1440,0,0.0,0,0,8.0,33.797
1/11/2015,Quarter2,Sunday,3,4.15,,1440,0,0.0,0,0,8.0,93.532
1/11/2015,Quarter2,Sunday,4,3.94,,3600,0,0.0,0,0,20.0,92.564
1/11/2015,Quarter2,Sunday,9,26.16,1095.0,10620,88,0.0,0,0,59.0,90.022
1/11/2015,Quarter2,Sunday,1,3.94,,1440,0,0.0,0,0,8.0,87.307
2016-01-11,Quarter2,Sunday,9,3.94,,1440,0,0.0,0,0,8.0,85.814
2016-01-11,Quarter2,Sunday,1,26.16,1383.0,10620,75,0.0,0,0,59.0,85.05
1/11/2015,Quarter2,Sunday,7,25.9,1012.0,10170,45,0.0,0,0,56.5,85.014
1/11/2015,Quarter2,Sunday,8,25.9,1209.0,10170,60,0.0,0,0,56.5,85.014
1/11/2015,Quarter2,Sunday,10,3.94,,1440,0,0.0,0,0,8.0,82.83
1/11/2015,Quarter2,Sunday,2,3.94,,1440,0,0.0,0,0,8.0,82.083
1/11/2015,Quarter2,Sunday,6,11.41,887.0,5490,50,0.0,0,0,30.5,80.034
1/11/2015,Quarter2,Sunday,12,11.61,896.0,5670,50,0.0,0,0,31.5,80.025
2016-01-11,Quarter2,Sunday,2,28.08,805.0,10530,63,0.0,0,0,58.5,80.0
2016-01-11,Quarter2,Sunday,10,28.08,762.0,10530,38,0.0,0,0,58.5,80.0
2016-01-11,Quarter2,Sunday,3,19.87,1043.0,6420,0,0.0,0,0,55.0,69.018
1/11/2015,Quarter2,Sunday,11,4.15,,1440,0,0.0,0,0,8.0,66.809
2016-01-11,Quarter2,Sunday,8,2.9,,1440,0,0.0,0,0,8.0,65.36
1/11/2015,Quarter2,Sunday,5,4.15,,1440,0,0.0,0,0,8.0,60.914
2016-01-11,Quarter2,Sunday,11,12.52,831.0,9540,30,0.0,0,0,53.0,60.023
2016-01-11,Quarter2,Sunday,6,2.9,,1440,0,0.0,0,0,8.0,59.735
2016-01-11,Quarter2,Sunday,7,2.9,,1440,0,0.0,0,0,8.0,59.044
2016-01-11,Quarter2,Sunday,4,50.48,562.0,10440,0,0.0,0,0,58.0,47.313
2016-01-11,Quarter2,Sunday,5,20.79,1208.0,7980,0,0.0,0,0,57.0,45.298
1/12/2015,Quarter2,Monday,1,3.94,,1440,0,0.0,0,0,8.0,95.515
1/12/2015,Quarter2,Monday,4,4.3,,3240,0,0.0,0,0,18.0,94.221
1/12/2015,Quarter2,Monday,3,4.15,,1800,0,0.0,0,0,10.0,90.545
1/12/2015,Quarter2,Monday,2,3.94,,1440,0,0.0,0,0,8.0,88.053
1/12/2015,Quarter2,Monday,9,3.94,,1440,0,0.0,0,0,8.0,85.814
2016-01-12,Quarter2,Monday,1,26.16,1099.0,8220,75,0.0,0,0,59.0,85.052
2016-01-12,Quarter2,Monday,9,26.16,1093.0,10620,75,0.0,0,0,59.0,85.05
1/12/2015,Quarter2,Monday,7,25.9,1031.0,10170,60,0.0,0,0,56.5,85.014
1/12/2015,Quarter2,Monday,8,25.9,1233.0,10170,60,0.0,0,0,56.5,85.014
1/12/2015,Quarter2,Monday,6,2.9,,1440,0,0.0,0,0,8.0,81.742
1/12/2015,Quarter2,Monday,5,4.15,,1440,0,0.0,0,0,8.0,80.956
2016-01-12,Quarter2,Monday,3,19.87,941.0,9900,0,0.0,0,0,55.0,80.027
2016-01-12,Quarter2,Monday,6,11.41,843.0,5670,50,0.0,0,0,31.5,80.018
1/12/2015,Quarter2,Monday,12,11.61,760.0,4470,50,0.0,0,0,31.5,80.008
2016-01-12,Quarter2,Monday,2,28.08,737.0,10530,63,0.0,0,0,58.5,80.0
2016-01-12,Quarter2,Monday,8,2.9,,1440,0,0.0,0,0,8.0,72.5
1/12/2015,Quarter2,Monday,10,50.48,381.0,6930,45,0.0,0,0,58.5,68.856
2016-01-12,Quarter2,Monday,5,20.79,1141.0,8460,0,0.0,0,0,59.0,65.004
1/12/2015,Quarter2,Monday,11,12.52,1004.0,9540,44,0.0,0,0,53.0,64.998
2016-01-12,Quarter2,Monday,7,2.9,,1440,0,0.0,0,0,8.0,64.811
2016-01-12,Quarter2,Monday,11,4.15,,1440,0,0.0,0,0,8.0,64.058
2016-01-12,Quarter2,Monday,4,22.4,581.0,7350,0,0.0,0,0,51.5,35.063
2016-01-12,Quarter2,Monday,10,3.94,,1440,0,0.0,0,0,8.0,24.625
1/13/2015,Quarter2,Tuesday,4,4.3,,2160,0,0.0,0,0,12.0,95.202
1/13/2015,Quarter2,Tuesday,1,3.94,,1440,0,0.0,0,0,2.0,95.142
1/13/2015,Quarter2,Tuesday,10,3.94,,5400,0,0.0,0,0,20.0,91.277
1/13/2015,Quarter2,Tuesday,3,4.15,,1620,0,0.0,0,0,9.0,90.126
1/13/2015,Quarter2,Tuesday,9,3.94,,1440,0,0.0,0,0,8.0,85.814
2016-01-13,Quarter2,Tuesday,1,26.16,1073.0,10620,75,0.0,0,0,59.0,85.05
2016-01-13,Quarter2,Tuesday,9,26.16,1156.0,10620,75,0.0,0,0,59.0,85.05
1/13/2015,Quarter2,Tuesday,8,25.9,1211.0,10260,60,0.0,0,0,57.0,85.025
1/13/2015,Quarter2,Tuesday,7,25.9,1126.0,10170,60,0.0,0,0,56.5,85.014
1/13/2015,Quarter2,Tuesday,5,4.15,,1440,0,0.0,0,0,8.0,82.135
1/13/2015,Quarter2,Tuesday,2,3.94,,1440,0,0.0,0,0,8.0,80.591
1/13/2015,Quarter2,Tuesday,6,11.61,1004.0,5670,50,0.0,0,0,31.5,80.025
1/13/2015,Quarter2,Tuesday,12,11.61,1063.0,5670,50,0.0,0,0,31.5,80.025
2016-01-13,Quarter2,Tuesday,2,28.08,723.0,10530,50,0.0,0,0,58.5,80.0
2016-01-13,Quarter2,Tuesday,3,42.27,465.0,9900,54,0.0,0,0,55.0,70.558
2016-01-13,Quarter2,Tuesday,8,2.9,,1440,0,0.0,0,0,8.0,68.106
2016-01-13,Quarter2,Tuesday,7,2.9,,1440,0,0.0,0,0,8.0,67.008
1/13/2015,Quarter2,Tuesday,11,4.15,,1440,0,0.0,0,0,8.0,60.128
2016-01-13,Quarter2,Tuesday,11,27.13,530.0,9540,37,0.0,0,0,53.0,58.23
2016-01-13,Quarter2,Tuesday,5,20.79,1297.0,10440,0,0.0,0,0,58.0,52.681
2016-01-13,Quarter2,Tuesday,4,22.4,783.0,10170,23,0.0,0,0,56.5,50.038
2016-01-13,Quarter2,Tuesday,10,22.4,715.0,10170,23,0.0,0,0,56.5,35.021
1/14/2015,Quarter2,Wednesday,11,4.15,,1980,0,0.0,0,0,7.0,93.461
1/14/2015,Quarter2,Wednesday,4,4.3,,2700,0,0.0,0,0,8.0,90.808
1/14/2015,Quarter2,Wednesday,7,25.9,1150.0,10170,70,0.0,0,0,56.5,90.014
1/14/2015,Quarter2,Wednesday,1,3.94,,1440,0,0.0,0,0,8.0,89.172
1/14/2015,Quarter2,Wednesday,5,4.15,,1440,0,0.0,0,0,15.0,86.458
1/14/2015,Quarter2,Wednesday,9,3.94,,1440,0,0.0,0,0,8.0,85.814
2016-01-14,Quarter2,Wednesday,9,26.16,1232.0,10620,75,0.0,0,0,59.0,85.05
1/14/2015,Quarter2,Wednesday,8,25.9,1218.0,10170,60,0.0,0,0,56.5,85.014
2016-01-14,Quarter2,Wednesday,7,2.9,,1440,0,0.0,0,0,8.0,83.759
1/14/2015,Quarter2,Wednesday,3,4.15,,1440,0,0.0,0,0,7.0,82.083
1/14/2015,Quarter2,Wednesday,12,11.61,1159.0,2970,50,0.0,0,0,31.5,80.031
1/14/2015,Quarter2,Wednesday,6,11.61,972.0,5670,38,0.0,0,0,31.5,80.025
2016-01-14,Quarter2,Wednesday,1,26.16,1092.0,10620,63,0.0,0,0,59.0,80.012
2016-01-14,Quarter2,Wednesday,5,20.79,965.0,7320,0,0.0,0,0,58.0,70.01
2016-01-14,Quarter2,Wednesday,8,2.9,,1440,0,0.0,0,0,8.0,66.733
2016-01-14,Quarter2,Wednesday,4,22.4,816.0,5100,23,0.0,0,0,57.0,60.037
1/14/2015,Quarter2,Wednesday,10,22.4,947.0,3390,23,0.0,0,0,56.5,49.998
2016-01-14,Quarter2,Wednesday,11,14.61,838.0,7200,23,0.0,0,0,55.0,35.003
2016-01-14,Quarter2,Wednesday,10,3.94,,1260,0,0.0,0,0,8.0,33.236
1/14/2015,Quarter2,Wednesday,2,51.02,1086.0,4260,27,0.0,0,0,57.0,31.121
2016-01-14,Quarter2,Wednesday,2,3.94,,1260,0,0.0,0,0,8.0,24.732
1/15/2015,Quarter3,Thursday,4,4.3,,3600,0,0.0,0,0,20.0,98.864
1/15/2015,Quarter3,Thursday,10,3.94,,3420,0,0.0,0,0,19.0,95.311
1/15/2015,Quarter3,Thursday,1,3.94,,1440,0,0.0,0,0,8.0,88.426
1/15/2015,Quarter3,Thursday,5,4.15,,1440,0,0.0,0,0,8.0,86.065
1/15/2015,Quarter3,Thursday,9,3.94,,1440,0,0.0,0,0,8.0,85.814
2016-01-15,Quarter3,Thursday,1,26.16,1160.0,10620,75,0.0,0,0,59.0,85.05
1/15/2015,Quarter3,Thursday,8,25.9,1177.0,8970,60,0.0,0,0,56.5,85.042
1/15/2015,Quarter3,Thursday,7,25.9,1281.0,10170,60,0.0,0,0,56.5,85.014
2016-01-15,Quarter3,Thursday,9,26.16,1369.0,10620,63,0.0,0,0,59.0,80.012
1/15/2015,Quarter3,Thursday,6,11.61,1084.0,4950,38,0.0,0,0,31.5,80.003
1/15/2015,Quarter3,Thursday,12,11.61,1216.0,4950,50,0.0,0,0,31.5,80.003
2016-01-15,Quarter3,Thursday,5,20.79,391.0,10440,0,0.0,0,0,58.0,70.006
2016-01-15,Quarter3,Thursday,7,2.9,,1440,0,0.0,0,0,8.0,68.93
1/15/2015,Quarter3,Thursday,3,22.52,1102.0,10170,30,0.0,0,0,56.5,66.068
2016-01-15,Quarter3,Thursday,4,22.52,872.0,10080,26,0.0,0,0,56.0,65.013
2016-01-15,Quarter3,Thursday,8,2.9,,1440,0,0.0,0,0,8.0,60.691
2016-01-15,Quarter3,Thursday,10,22.52,1076.0,10170,23,0.0,0,0,56.5,60.029
1/15/2015,Quarter3,Thursday,11,14.89,917.0,9900,30,0.0,0,0,55.0,50.003
1/15/2015,Quarter3,Thursday,2,22.94,1044.0,9810,23,0.0,0,0,54.5,50.0
1/17/2015,Quarter3,Saturday,5,4.15,,2700,0,0.0,0,0,15.0,98.72
1/17/2015,Quarter3,Saturday,2,3.94,,1800,0,0.0,0,0,10.0,98.091
1/17/2015,Quarter3,Saturday,10,3.94,,1440,0,0.0,0,0,8.0,97.462
1/17/2015,Quarter3,Saturday,1,3.94,,1440,0,0.0,0,0,8.0,88.426
1/17/2015,Quarter3,Saturday,9,3.94,,1800,0,0.0,0,0,10.0,82.68
1/17/2015,Quarter3,Saturday,6,11.41,1067.0,5490,63,0.0,0,0,30.5,80.034
1/17/2015,Quarter3,Saturday,12,11.61,1039.0,5670,63,0.0,0,0,31.5,80.025
1/17/2015,Quarter3,Saturday,7,25.9,1396.0,10170,50,0.0,0,0,56.5,80.013
1/17/2015,Quarter3,Saturday,8,25.9,1292.0,10170,50,0.0,0,0,56.5,80.013
2016-01-17,Quarter3,Saturday,1,48.68,171.0,10620,63,0.0,0,0,59.0,80.012
2016-01-17,Quarter3,Saturday,9,26.16,1128.0,10620,63,0.0,0,0,59.0,80.012
